,player_id,actual_name,twitter_handle,position,height,height_inches,feet,inches,weight,shooting_hand,college,high_school,draft_team,draft_position,overall_pick,draft_round,round_pick,nba_debut,experience,nba_years,birthdate,birthyear,age,exact_age,birthplace,birthcity,birthstate,birthcountry,high_school_location,high_school_city,high_school_state,numbers,contract_terms,teams_colors,player_url,scrape_date
livinsh01,livinsh01,Shaun Livingston,,Point Guard-Shooting Guard,6'7,79,6,7,182,Right,,Peoria Central,Los Angeles Clippers,1st round 4th pick 4th overall,4,1,4,11/3/04,8 years,8,9/11/85,1985,28,28y 0m 87d 0H 0M 0S,"Peoria, Illinois",Peoria,Illinois,USA,"Peoria, Illinois",Peoria,Illinois,14;8;14;2;2;9;14;14;14,"Signed July 11, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2005-2007-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2009-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2009-2010-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2010-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2011-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2013-poptip uni_square-color:#ffffff;background-color:#8b0000;border-color:#ffd700;-Cleveland Cavaliers, 2013-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2014",http://www.basketball-reference.com/players/l/livinsh01.html,12/7/13 15:54
lopezbr01,lopezbr01,Brook Robert Lopez,@BrookLopez1,Center,7'0,84,7,0,260,Right,Stanford University,San Joaquin Memorial,New Jersey Nets,1st round 10th pick 10th overall,10,1,10,10/29/08,5 years,5,4/1/88,1988,25,25y 0m 249d 18H 0M 0S,"North Hollywood, California",North Hollywood,California,USA,"Fresno, California",Fresno,California,11;11,"Signed July 11, 2012 for an assumed $60,825,938 for 4 years.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2009-2012-poptip uni_square-color:#000000;background-color:#ffffff;border-color:#000000;-Brooklyn Nets, 2013-2014",http://www.basketball-reference.com/players/l/lopezbr01.html,12/7/13 15:54
lopezro01,lopezro01,Robin Byron Lopez,@eegabeeva88,Center,7'0,84,7,0,255,Right,Stanford University,San Joaquin Memorial,Phoenix Suns,1st round 15th pick 15th overall,15,1,15,10/29/08,5 years,5,4/1/88,1988,25,25y 0m 249d 18H 0M 0S,"North Hollywood, California",North Hollywood,California,USA,"Fresno, California",Fresno,California,15;15;42,"Signed July 27, 2012 for an assumed $15,359,284 for 3 years.  Contract includes trade bonus amount that counts as $784,500 in 2013-14 and as $784,499 in 2014-15.  2013-14 and 2014-15 are both now fully guaranteed.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2009-2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2014",http://www.basketball-reference.com/players/l/lopezro01.html,12/7/13 15:54
loveke01,loveke01,Kevin Wesley Love,@kevinlove,Power Forward-Center,6'10,82,6,10,260,Right,"University of California, Los Angeles",Lake Oswego,Memphis Grizzlies,1st round 5th pick 5th overall,5,1,5,10/29/08,5 years,5,9/7/88,1988,25,25y 0m 90d 18H 0M 0S,"Santa Monica, California",Santa Monica,California,USA,"Lake Oswego, Oregon",Lake Oswego,Oregon,42,"Signed extension on January 25, 2012 for an assumed $60,825,936 for 4 years that starts in 2012-13.  2015-16 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2009-2014",http://www.basketball-reference.com/players/l/loveke01.html,12/7/13 15:54
lowryky01,lowryky01,Kyle Lowry,@Klow7,Point Guard,6'0,72,6,0,175,Right,Villanova University,Cardinal Dougherty,Memphis Grizzlies,1st round 24th pick 24th overall,24,1,24,11/1/06,7 years,7,3/25/86,1986,27,27y 0m 257d 6H 0M 0S,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,USA,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,1;7;3;7,"Signed Offer Sheet on July 14, 2010 for an assumed $23,460,000 for 4 years which was matched.  2013-14 is now fully guaranteed.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2007-2009-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2009-2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2014",http://www.basketball-reference.com/players/l/lowryky01.html,12/7/13 15:54
lucasjo02,lucasjo02,John Harding Lucas III,@Luke1luk,Point Guard,5'11,71,5,11,165,Right,Oklahoma State University,Bellaire,,,,,,12/31/05,5 years,5,11/21/82,1982,31,31y 0m 16d 6H 0M 0S,Washington D.C.,Washington,District of Columbia,USA,"Houston, Texas",Houston,Texas,15;15;5;5,"Signed July 22, 2013 for an assumed $3,200,000 for 2 years.  2014-15 is not guaranteed.","poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2006-2007-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2011-2012-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#006400;-Utah Jazz, 2014",http://www.basketball-reference.com/players/l/lucasjo02.html,12/7/13 15:54
macksh01,macksh01,Shelvin Bernard Mack,@ShelvinMack,Point Guard-Shooting Guard,6'3,75,6,3,215,Right,Butler University,Bryan Station,Washington Wizards,2nd round 4th pick 34th overall,34,2,4,12/26/11,2 years,2,4/22/89,1989,24,24y 0m 229d 0H 0M 0S,"Lexington, Kentucky",Lexington,Kentucky,USA,"Lexington, Kentucky",Lexington,Kentucky,22;14;8,"Signed March 26, 2013 for an assumed minimum salary for the remainder of the season and for 2013-14.  2013-14 is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2013-2014",http://www.basketball-reference.com/players/m/macksh01.html,12/7/13 15:54
mahinia01,mahinia01,Ian Mahinmi,@ianmahinmi,Center,6'11,83,6,11,230,Right,,,San Antonio Spurs,1st round 28th pick 28th overall,28,1,28,10/30/07,5 years,5,11/5/86,1986,27,27y 0m 32d 6H 0M 0S,"Rouen, France",Rouen,,France,,,,28;28;28,"Signed July 12, 2012 for an assumed $16,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2008-2010-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2011-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2013-2014",http://www.basketball-reference.com/players/m/mahinia01.html,12/7/13 15:54
mariosh01,mariosh01,Shawn Dwayne Marion,,Small Forward-Power Forward-Center,6'7,79,6,7,220,Right,"University of Nevada, Las Vegas",Clarksville,Phoenix Suns,1st round 9th pick 9th overall,9,1,9,11/2/99,14 years,14,5/7/78,1978,35,35y 0m 214d 6H 0M 0S,"Waukegan, Illinois",Waukegan,Illinois,USA,"Clarksville, Tennessee",Clarksville,Tennessee,31;31;7;31;0,"Signed July 9, 2009 for an assumed $39,879,660 plus incentives for 5 years.  ETO for 2013-14 was not exercised.  2013-14 has up to $46,517 in unlikely incentives not included here.  2013-14 includes $250,000 in likely incentives.  Contract has a 15% trade kicker.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Phoenix Suns, 2000-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff4500;-Phoenix Suns, 2001-2008-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2008-2009-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Toronto Raptors, 2009-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2010-2014",http://www.basketball-reference.com/players/m/mariosh01.html,12/7/13 15:54
martica01,martica01,Cartier Alexander Martin,@CartierMartin,Small Forward-Shooting Guard,6'7,79,6,7,220,Right,Kansas State University,Aldine Nimitz,,,,,,1/30/09,5 years,5,11/20/84,1984,29,29y 0m 16d 18H 0M 0S,"Crockett, Texas",Crockett,Texas,USA,"Houston, Texas",Houston,Texas,1;20;20;20;20,"Signed October 15, 2013 for an assumed minimum salary for 1 year.  2013-14 is not fully guaranteed.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Charlotte Bobcats, 2009-poptip uni_square-color:#ffffff;background-color:#191970;border-color:#ff4500;-Golden State Warriors, 2010-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2010-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-Atlanta Hawks, 2014",http://www.basketball-reference.com/players/m/martica01.html,12/7/13 15:54
martike01,martike01,Kenyon Lee Martin,,Power Forward-Center,6'9,81,6,9,234,Right,University of Cincinnati,Bryan Adams,New Jersey Nets,1st round 1st pick 1st overall,1,1,1,10/31/00,13 years,13,12/30/77,1977,35,35y 0m 342d 6H 0M 0S,"Saginaw, Michigan",Saginaw,Michigan,USA,"Dallas, Texas",Dallas,Texas,6;6;4;4;2;3,"Signed July 25, 2013 for an assumed minimum salary for 1 year.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ff0000;-New Jersey Nets, 2001-2004-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2005-2007-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#0000cd;-Denver Nuggets, 2008-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2009-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Los Angeles Clippers, 2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2013-2014",http://www.basketball-reference.com/players/m/martike01.html,12/7/13 15:54
martike02,martike02,Kevin Dallas Martin Jr.,,Shooting Guard-Point Guard,6'7,79,6,7,185,Right,Western Carolina University,Zanesville,Sacramento Kings,1st round 26th pick 26th overall,26,1,26,11/2/04,9 years,9,2/1/83,1983,30,30y 0m 309d 12H 0M 0S,"Zanesville, Ohio",Zanesville,Ohio,USA,"Zanesville, Ohio",Zanesville,Ohio,23;12;23;23,"Signed July 11, 2013 for an assumed $27,755,000 for 4 years.  2016-17 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2005-2010-poptip uni_square-color:#ff0000;background-color:#ffffff;border-color:#ff0000;-Houston Rockets, 2010-2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2013-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2014",http://www.basketball-reference.com/players/m/martike02.html,12/7/13 15:54
masonro01,masonro01,Roger Phillip Mason Jr.,@MoneyMase,Shooting Guard-Small Forward-Point Guard,6'5,77,6,5,200,Right,University of Virginia,Good Counsel,Chicago Bulls,2nd round 2nd pick 30th overall,30,2,2,2/21/03,9 years,9,9/10/80,1980,33,33y 0m 87d 18H 0M 0S,Washington D.C.,Washington,District of Columbia,USA,"Wheaton, Maryland",Wheaton,Maryland,31;31;8;8;18;8;8;21,"Signed September 27, 2013 for an assumed minimum salary for 1 year.  Contract is not guaranteed.","poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000000;-Chicago Bulls, 2003-2004-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ff0000;-Toronto Raptors, 2004-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2007-2008-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#c0c0c0;-San Antonio Spurs, 2009-2010-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff4500;-New York Knicks, 2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#551a8b;-New Orleans Hornets, 2013-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#8b0000;-Miami Heat, 2014",http://www.basketball-reference.com/players/m/masonro01.html,12/7/13 15:54
matthwe02,matthwe02,Wesley Matthews Jr.,@wessywes2,Shooting Guard,6'5,77,6,5,220,Right,Marquette University,James Madison Memorial,,,,,,10/28/09,4 years,4,10/14/86,1986,27,27y 0m 54d 6H 0M 0S,"San Antonio, Texas",San Antonio,Texas,USA,"Madison, Wisconsin",Madison,Wisconsin,23;2,"Signed offer sheet on July 10, 2010 for an assumed $32,526,600 for 5 years.  Assumed signing bonus of $5,690,000 counts as $1,138,000 each year of the contract.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2010-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2011-2014",http://www.basketball-reference.com/players/m/matthwe02.html,12/7/13 15:54
maxieja01,maxieja01,Jason Dior Maxiell,@JasonMaxiell,Power Forward-Center,6'7,79,6,7,260,Right,University of Cincinnati,Newman Smith,Detroit Pistons,1st round 26th pick 26th overall,26,1,26,11/2/05,8 years,8,2/18/83,1983,30,30y 0m 292d 12H 0M 0S,"Chicago, Illinois",Chicago,Illinois,USA,"Carrollton, Texas",Carrollton,Texas,54;54,"Sign July 13, 2013 for an assumed $5,000,000 for 2 years.  2014-15 is not guaranteed if waived before July 10, 2014.","poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#ff0000;-Detroit Pistons, 2006-2013-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2014",http://www.basketball-reference.com/players/m/maxieja01.html,12/7/13 15:54
maynoer01,maynoer01,Eric Demarqua Maynor,@EMaynor3,Point Guard-Shooting Guard,6'3,75,6,3,175,Right,Virginia Commonwealth University,Westover,Utah Jazz,1st round 20th pick 20th overall,20,1,20,10/28/09,4 years,4,6/11/87,1987,26,26y 0m 179d 12H 0M 0S,"Raeford, North Carolina",Raeford,North Carolina,USA,"Fayetteville, North Carolina",Fayetteville,North Carolina,3;6;6;6,"Signed July 10, 2013 for an assumed $4,122,720 for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#000080;border-color:#6ca6cd;-Utah Jazz, 2010-poptip uni_square-color:#ffffff;background-color:#009acd;border-color:#00008b;-Oklahoma City Thunder, 2010-2013-poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2013-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2014",http://www.basketball-reference.com/players/m/maynoer01.html,12/7/13 15:54
mayooj01,mayooj01,Ovinton J'Anthony Mayo,@JuiceMayo32,Shooting Guard,6'4,76,6,4,210,Right,University of Southern California,Huntington,Minnesota Timberwolves,1st round 3rd pick 3rd overall,3,1,3,10/29/08,5 years,5,11/5/87,1987,26,26y 0m 32d 12H 0M 0S,"Huntington, West Virginia",Huntington,West Virginia,USA,"Huntington, West Virginia",Huntington,West Virginia,32;32;00,"Signed July 13, 2013 for an assumed $24,000,000 for 3 years.","poptip uni_square-color:#ffffff;background-color:#191970;border-color:#6ca6cd;-Memphis Grizzlies, 2009-2012-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#0000ff;-Dallas Mavericks, 2013-poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2014",http://www.basketball-reference.com/players/m/mayooj01.html,12/7/13 15:54
mbahalu01,mbahalu01,Luc Richard Mbah a Moute,@mbahamoute,Power Forward-Small Forward,6'8,80,6,8,230,Right,"University of California, Los Angeles",Monteverde Academy,Milwaukee Bucks,2nd round 7th pick 37th overall,37,2,7,10/28/08,5 years,5,9/9/86,1986,27,27y 0m 89d 6H 0M 0S,"Yaounde, Cameroon",Yaounde,,Cameroon,"St Monteverde, Florida",St Monteverde,Florida,12;33;12,"Signed offer sheet on December 10, 2011 for an assumed $18,765,152 for 4 years that was matched.  Contract includes signing bonus for an assumed $1,705,923 that counts as $426,481 in each of 2013-14 and 2014-15.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2009-2013-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2014-poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Minnesota Timberwolves, 2014",http://www.basketball-reference.com/players/m/mbahalu01.html,12/7/13 15:54
mcgeeja01,mcgeeja01,JaVale Lindy McGee,@JaValeMcGee34,Center,7'0,84,7,0,237,Right,"University of Nevada, Reno",Hales Franciscan,Washington Wizards,1st round 18th pick 18th overall,18,1,18,10/29/08,5 years,5,1/19/88,1988,25,25y 0m 322d 18H 0M 0S,"Flint, Michigan",Flint,Michigan,USA,"Chicago, Illinois",Chicago,Illinois,34;34;34,"Signed July 18, 2012 for an assumed $44,000,000 for 4 years.","poptip uni_square-color:#ffffff;background-color:#00688b;border-color:#000000;-Washington Wizards, 2009-2011-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#000080;-Washington Wizards, 2012-poptip uni_square-color:#ffffff;background-color:#6ca6cd;border-color:#000080;-Denver Nuggets, 2012-2014",http://www.basketball-reference.com/players/m/mcgeeja01.html,12/7/13 15:54
mclembe01,mclembe01,Ben McLemore,,Shooting Guard,6'5,77,6,5,195,Right,University of Kansas,Christian Life Center Academy,Sacramento Kings,1st round 7th pick 7th overall,7,1,7,NA,Rookie,0,2/11/93,1993,20,20y 0m 299d 0H 0M 0S,"St Louis, Missouri",St Louis,Missouri,USA,"Humble, Texas",Humble,Texas,16,"Signed July 13, 2013.","poptip uni_square-color:#ffffff;background-color:#800080;border-color:#000000;-Sacramento Kings, 2014",http://www.basketball-reference.com/players/m/mclembe01.html,12/7/13 15:54
mcrobjo01,mcrobjo01,Joshua Scott McRoberts,,Power Forward-Center,6'10,82,6,10,240,Left,Duke University,Carmel,Portland Trail Blazers,2nd round 7th pick 37th overall,37,2,7,11/19/07,6 years,6,2/28/87,1987,26,26y 0m 282d 12H 0M 0S,"Indianapolis, Indiana",Indianapolis,Indiana,USA,"Carmel, Indiana",Carmel,Indiana,4;32;6;17;11,"Signed July 11, 2013 for an assumed $5,423,340 for 2 years.  2014-15 is a Player Option.","poptip uni_square-color:#ffffff;background-color:#000000;border-color:#ff0000;-Portland Trail Blazers, 2008-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#ffd700;-Indiana Pacers, 2009-2011-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2012-poptip uni_square-color:#ffffff;background-color:#0000ff;border-color:#000000;-Orlando Magic, 2013-poptip uni_square-color:#ffffff;background-color:#000080;border-color:#add8e6;-Charlotte Bobcats, 2013-2014",http://www.basketball-reference.com/players/m/mcrobjo01.html,12/7/13 15:54
meeksjo01,meeksjo01,Jodie Meeks,@Jmeeks20,Shooting Guard,6'4,76,6,4,208,Right,University of Kentucky,Norcross,Milwaukee Bucks,2nd round 11th pick 41st overall,41,2,11,11/3/09,4 years,4,8/21/87,1987,26,26y 0m 108d 12H 0M 0S,"Norcross, Georgia",Norcross,Georgia,USA,"Norcross, Georgia",Norcross,Georgia,23;20;20,"Signed August 13, 2012 for an assumed $3,050,000 for 2 years.  Team Option for 2013-14 was picked up on June 26, 2013.","poptip uni_square-color:#ffffff;background-color:#006400;border-color:#ff0000;-Milwaukee Bucks, 2010-poptip uni_square-color:#ffffff;background-color:#ff0000;border-color:#0000ff;-Philadelphia 76ers, 2010-2012-poptip uni_square-color:#ffffff;background-color:#800080;border-color:#ffd700;-Los Angeles Lakers, 2013-2014",http://www.basketball-reference.com/players/m/meeksjo01.html,12/7/13 15:54
